               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046653,            0.078064,                   0,             0.53424,             0.72464,             0.64801,             0.36962,            0.039362,            0.041614,                   0,           0.0013405,           0.0013405,            0.085841
                  39,            0.044515,            0.068326,                   0,              0.4833,             0.85507,             0.63741,             0.32267,            0.038931,            0.041658,                   0,           0.0013643,           0.0013643,            0.085464
                  40,            0.046084,            0.067212,                   0,             0.59594,             0.89774,             0.72095,             0.43741,             0.03935,            0.040765,                   0,           0.0013873,           0.0013873,            0.085087
                  41,            0.044412,            0.065931,                   0,             0.81024,             0.89728,             0.91144,             0.63365,            0.033272,            0.038903,                   0,           0.0014095,           0.0014095,             0.08471
                  42,            0.050077,            0.065948,                   0,             0.32015,             0.55797,             0.39903,            0.076048,            0.071483,            0.041445,                   0,            0.001431,            0.001431,            0.084331
                  43,            0.062107,            0.062992,                   0,             0.43566,             0.67391,             0.53784,              0.3606,            0.056089,            0.038612,                   0,           0.0014517,           0.0014517,            0.083952
                  44,            0.062013,            0.060386,                   0,             0.37355,             0.55072,             0.41843,            0.058178,            0.066593,            0.037872,                   0,           0.0014715,           0.0014715,            0.083572
                  45,            0.061807,            0.072343,                   0,             0.51844,             0.57971,             0.53137,             0.14212,            0.051023,             0.03963,                   0,           0.0014905,           0.0014905,            0.083191
                  46,            0.058078,            0.064702,                   0,              0.5097,             0.52732,             0.51062,             0.16205,            0.062642,            0.038177,                   0,           0.0015088,           0.0015088,            0.082809
                  47,            0.058937,            0.071124,                   0,             0.37104,             0.62319,             0.37533,             0.05175,            0.055664,            0.040321,                   0,           0.0015261,           0.0015261,            0.082426
                  48,            0.059516,            0.069066,                   0,             0.51921,             0.64951,             0.58895,             0.16743,            0.063014,            0.040942,                   0,           0.0015427,           0.0015427,            0.082043
                  49,            0.062772,            0.066934,                   0,             0.62994,             0.63043,             0.64519,             0.31248,            0.055257,            0.038893,                   0,           0.0015584,           0.0015584,            0.081658
                  50,            0.055162,            0.072554,                   0,             0.53242,             0.63043,             0.54945,             0.16836,             0.05077,            0.038894,                   0,           0.0015732,           0.0015732,            0.081273
                  51,            0.054544,            0.072176,                   0,             0.62131,             0.54348,              0.5871,               0.195,            0.061953,            0.040072,                   0,           0.0015873,           0.0015873,            0.080887
                  52,            0.059748,            0.068653,                   0,             0.63363,             0.71014,             0.71648,             0.26371,            0.045262,             0.04013,                   0,           0.0016004,           0.0016004,              0.0805
                  53,            0.053179,            0.064928,                   0,             0.77744,             0.57246,             0.72037,             0.46493,            0.050756,            0.038491,                   0,           0.0016127,           0.0016127,            0.080113
                  54,            0.053569,             0.06999,                   0,             0.68678,             0.67391,             0.74504,             0.24574,            0.051779,            0.038698,                   0,           0.0016241,           0.0016241,            0.079724
                  55,            0.058431,            0.070405,                   0,             0.80158,             0.67332,             0.80224,             0.35474,            0.043019,            0.038102,                   0,           0.0016347,           0.0016347,            0.079335
                  56,            0.050221,            0.066302,                   0,             0.58869,             0.71014,             0.66846,              0.2892,            0.039206,            0.038246,                   0,           0.0016443,           0.0016443,            0.078944
                  57,            0.050781,            0.066169,                   0,             0.35972,             0.68116,             0.42381,              0.2167,            0.052101,            0.041394,                   0,           0.0016532,           0.0016532,            0.078553
                  58,            0.059847,            0.067162,                   0,             0.54201,             0.63043,             0.57492,              0.1445,            0.054869,            0.039128,                   0,           0.0016611,           0.0016611,            0.078161
                  59,            0.053069,            0.068803,                   0,             0.58012,             0.55072,             0.58075,             0.15197,            0.060376,            0.037952,                   0,           0.0016682,           0.0016682,            0.077768
                  60,            0.054518,            0.067906,                   0,             0.49664,             0.75362,              0.5835,             0.29054,              0.0412,            0.037222,                   0,           0.0016744,           0.0016744,            0.077374
                  61,            0.043935,            0.065815,                   0,             0.56489,              0.7244,             0.63347,             0.31152,            0.044293,            0.038915,                   0,           0.0016798,           0.0016798,             0.07698
                  62,            0.054649,            0.068233,                   0,             0.37631,             0.73891,             0.41391,             0.15716,            0.051039,            0.038592,                   0,           0.0016842,           0.0016842,            0.076584
                  63,            0.058259,            0.067321,                   0,             0.40855,             0.76812,             0.47853,             0.11827,            0.050667,            0.037385,                   0,           0.0016879,           0.0016879,            0.076188
                  64,            0.054303,            0.062489,                   0,             0.44272,             0.73188,              0.5094,             0.11951,            0.055333,            0.036737,                   0,           0.0016906,           0.0016906,            0.075791
                  65,            0.052498,             0.07053,                   0,             0.48146,             0.78048,             0.57296,             0.21842,            0.043163,            0.037242,                   0,           0.0016926,           0.0016926,            0.075393
                  66,            0.047679,            0.065639,                   0,             0.40619,             0.60145,             0.48303,             0.11308,            0.048544,            0.038361,                   0,           0.0016936,           0.0016936,            0.074994
                  67,            0.053949,            0.059336,                   0,             0.63884,             0.73913,             0.73978,             0.36976,            0.048356,            0.037434,                   0,           0.0016939,           0.0016939,            0.074594
